portal2|9.7|Portal 2|The "Perpetual Testing Initiative" has been expanded to allow you to design co-op puzzles for you and your friends!|10
factorio|9.6|Factorio|Factorio is a game about building and creating automated factories to produce items of increasing complexity, within an infinite 2D world. Use your imagination to design your factory, combine simple elements into ingenious structures, and finally protect it from the creatures who don't really like you.|30
thewitcher3|9.7|The Witcher 3|As war rages on throughout the Northern Realms, you take on the greatest contract of your life � tracking down the Child of Prophecy, a living weapon that can alter the shape of the world.|40
portal|9.6|Portal|Portal� is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.|10
counterstrike|9.6|Counter-Strike|Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.|10
terraria|9.6|Terraria|Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!|10
